VER,EDATE,BIRD,ADATE,STIMEU,STIMEQ,DUR,STIMEL,ORBIT,NS,LAT,LATQ,EW,LON,LONQ,ALT,ATYPE,ADIAG,ACOMMENT,SVE,SPIN
5,6/17/1988,@PN0303,4/28/1985,0354,0,0,2002,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,6/15/1985,0925,0,0,0133,G,N,0,0,W,118,0,35784,PF,UNK,TWTA 3V TRIP-OFF - Declared Failed,0,
5,6/17/1988,@PN0303,7/7/1985,0508,0,0,2116,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,7/13/1985,0023,0,0,1631,G,N,0,0,W,118,0,35784,PC,ESD,APE 1 Switch - CTR 1 to CTR 2,0,
5,12/11/1986,@PN0303,7/21/1985,1055,0,0,0303,G,N,0,0,W,118,0,35784,PC,ESD,SPIN ENCODER 2 MODE SWITCH,0,
5,6/17/1988,@PN0303,9/18/1985,2031,0,0,1239,G,N,0,0,W,118,0,35784,PF,UNK,APM 1 Stalled,0,
5,6/17/1988,@PN0303,9/26/1985,0308,0,0,1916,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - AUTO step to CMD step,0,
5,6/17/1988,@PN0303,9/26/1985,2110,0,0,1318,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,9/27/1985,1056,0,0,0304,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - AUTO Step to CMD Step,0,
5,6/17/1988,@PN0303,9/27/1985,2330,0,0,1538,G,N,0,0,W,118,0,35784,PC,ESD,APE 2 Switch - CTR 1 to CTR 2,0,
5,6/17/1988,@PN0303,12/7/1985,0828,0,0,0036,G,N,0,0,W,118,0,35784,PF,UNK,APM 2 Stalled (in operation),0,
5,6/17/1988,@PN0303,12/9/1985,1936,0,0,1144,G,N,0,0,W,118,0,35784,PF,UNK,APM 1 Stalled (during clocking),0,
5,6/17/1988,@PN0303,12/16/1985,1322,0,0,0530,G,N,0,0,W,118,0,35784,PF,UNK,APM 2 Stalled (in operation),0,
