STIMEU,DUR,LAT,LON,ALT,ATYPE,SVE,AYEAR,AMONTH,ADAY
1021.0,0,0,15,35784,SE,0.0,1975,3,31
55.0,0,0,185,35784,SE,0.0,1975,10,5
35.0,0,0,185,35784,SE,0.0,1975,10,10
13.0,0,0,185,35784,SE,0.0,1975,10,12
1527.0,0,0,185,35784,SE,0.0,1975,11,6
357.0,0,0,185,35784,SE,0.0,1975,11,9
530.0,1990,0,67,35784,SE,0.0,1987,1,9
1238.0,1192,0,1,35784,SE,0.0,1986,11,28
540.0,455,0,1,35784,SE,0.0,1986,12,29
540.0,455,0,1,35784,SE,0.0,1986,12,29
1439.0,0,0,61,35784,SE,0.0,1987,3,8
2355.0,475,0,0,35784,SE,0.0,1987,7,6
810.0,476,0,60,35784,SE,0.0,1987,7,18
240.0,1025,0,175,35784,SE,0.0,1986,11,29
640.0,660,0,175,35784,SE,0.0,1987,3,9
1127.0,0,0,12,35784,UNK,0.0,1986,12,16
1322.0,0,0,12,35784,UNK,0.0,1986,12,23
1322.0,42,0,12,35784,UNK,0.0,1986,12,23
1322.0,0,0,12,35784,UNK,0.0,1986,12,23
1404.0,0,0,12,35784,UNK,0.0,1986,12,23
1937.0,0,0,12,35784,UNK,0.0,1986,12,29
1937.0,0,0,12,35784,UNK,0.0,1986,12,29
2356.0,0,0,12,35784,UNK,0.0,1987,1,14
2356.0,0,0,12,35784,UNK,0.0,1987,1,14
7.0,0,0,12,35784,UNK,0.0,1987,1,16
7.0,0,0,12,35784,UNK,0.0,1987,1,16
1300.0,330,0,12,35784,UNK,0.0,1987,4,9
2230.0,90,0,12,35784,UNK,0.0,1987,4,9
0.0,90,0,12,35784,UNK,0.0,1987,4,14
830.0,60,0,12,35784,UNK,0.0,1987,4,14
1800.0,60,0,12,35784,UNK,0.0,1987,4,14
0.0,150,0,12,35784,UNK,0.0,1987,4,15
1400.0,300,0,12,35784,UNK,0.0,1987,4,15
700.0,480,0,12,35784,UNK,0.0,1987,4,16
0.0,0,0,0,0,SE,0.0,1993,10,7
504.0,0,0,238,35784,UNK,0.0,1987,2,11
656.0,0,0,259,35784,SE,0.0,1987,3,3
1241.0,0,0,260,35784,UNK,0.0,1987,5,10
1015.0,0,0,259,35784,UNK,0.0,1987,6,12
1240.0,0,0,259,35784,UNK,0.0,1987,6,20
1400.0,1680,0,172,35784,UNK,0.0,1987,7,27
1400.0,0,0,188,35784,SE,0.0,1987,7,29
